sku_id,units_sold,revenue,sku_name,category,brand
SKU02614,136,312844.88,FamilyChoice Sugar & Salt Family Pack,Grocery,FamilyChoice
SKU04463,124,299963.44,NovaFresh Men's Wear 1L,Apparel & Footwear,NovaFresh
SKU01108,123,259712.03999999998,PurePlus Ice Cream Pack of 6,Frozen Foods,PurePlus
SKU02274,109,258324.55,TrueTaste Footwear 250g,Apparel & Footwear,TrueTaste
SKU04947,113,255600.34999999998,FreshFarm OTC Medicine Family Pack,Health & Wellness,FreshFarm
SKU03607,108,253675.8,SparkleClean OTC Medicine 500g,Health & Wellness,SparkleClean
SKU02460,103,246450.16,SparkleClean Men's Wear Small,Apparel & Footwear,SparkleClean
SKU01357,106,244946.92,ZestyCo Home Decor Pack of 6,Home & Kitchen,ZestyCo
SKU02208,125,243811.25,SoftTouch Biscuits & Cookies Small,Snacks & Confectionery,SoftTouch
SKU04129,115,242585.6,BasicNeeds Small Appliances Small,Electronics & Accessories,BasicNeeds
